evidence_id,entity_type,entity_id,field_name,source_id,locator,known_at,time_precision,review_status
E_Q_DEMO_1_quote_id,quotes,Q_DEMO_1,quote_id,SRC_DEMO,fictional:Q_DEMO_1:quote_id,2025-02-03,day,verified
E_Q_DEMO_1_opportunity_id,quotes,Q_DEMO_1,opportunity_id,SRC_DEMO,fictional:Q_DEMO_1:opportunity_id,2025-02-03,day,verified
E_Q_DEMO_1_sent_at,quotes,Q_DEMO_1,sent_at,SRC_DEMO,fictional:Q_DEMO_1:sent_at,2025-02-03,day,verified
E_Q_DEMO_1_date_precision,quotes,Q_DEMO_1,date_precision,SRC_DEMO,fictional:Q_DEMO_1:date_precision,2025-02-03,day,verified
E_Q_DEMO_1_version_number,quotes,Q_DEMO_1,version_number,SRC_DEMO,fictional:Q_DEMO_1:version_number,2025-02-03,day,verified
E_Q_DEMO_1_first_priced_quote_status,quotes,Q_DEMO_1,first_priced_quote_status,SRC_DEMO,fictional:Q_DEMO_1:first_priced_quote_status,2025-02-03,day,verified
E_Q_DEMO_1_channel_at_quote,quotes,Q_DEMO_1,channel_at_quote,SRC_DEMO,fictional:Q_DEMO_1:channel_at_quote,2025-02-03,day,verified
E_Q_DEMO_1_lead_source_at_quote,quotes,Q_DEMO_1,lead_source_at_quote,SRC_DEMO,fictional:Q_DEMO_1:lead_source_at_quote,2025-02-03,day,verified
E_Q_DEMO_1_request_type_at_quote,quotes,Q_DEMO_1,request_type_at_quote,SRC_DEMO,fictional:Q_DEMO_1:request_type_at_quote,2025-02-03,day,verified
E_Q_DEMO_1_repeat_customer_at_quote,quotes,Q_DEMO_1,repeat_customer_at_quote,SRC_DEMO,fictional:Q_DEMO_1:repeat_customer_at_quote,2025-02-03,day,verified
E_Q_DEMO_1_source_id,quotes,Q_DEMO_1,source_id,SRC_DEMO,fictional:Q_DEMO_1:source_id,2025-02-03,day,verified
E_OPT_DEMO_1_option_id,quote_options,OPT_DEMO_1,option_id,SRC_DEMO,fictional:OPT_DEMO_1:option_id,2025-02-03,day,verified
E_OPT_DEMO_1_quote_id,quote_options,OPT_DEMO_1,quote_id,SRC_DEMO,fictional:OPT_DEMO_1:quote_id,2025-02-03,day,verified
E_OPT_DEMO_1_option_order,quote_options,OPT_DEMO_1,option_order,SRC_DEMO,fictional:OPT_DEMO_1:option_order,2025-02-03,day,verified
E_OPT_DEMO_1_product_scope,quote_options,OPT_DEMO_1,product_scope,SRC_DEMO,fictional:OPT_DEMO_1:product_scope,2025-02-03,day,verified
E_OPT_DEMO_1_destination_summary,quote_options,OPT_DEMO_1,destination_summary,SRC_DEMO,fictional:OPT_DEMO_1:destination_summary,2025-02-03,day,verified
E_OPT_DEMO_1_destination_count,quote_options,OPT_DEMO_1,destination_count,SRC_DEMO,fictional:OPT_DEMO_1:destination_count,2025-02-03,day,verified
E_OPT_DEMO_1_departure_date,quote_options,OPT_DEMO_1,departure_date,SRC_DEMO,fictional:OPT_DEMO_1:departure_date,2025-02-03,day,verified
E_OPT_DEMO_1_return_date,quote_options,OPT_DEMO_1,return_date,SRC_DEMO,fictional:OPT_DEMO_1:return_date,2025-02-03,day,verified
E_OPT_DEMO_1_nights,quote_options,OPT_DEMO_1,nights,SRC_DEMO,fictional:OPT_DEMO_1:nights,2025-02-03,day,verified
E_OPT_DEMO_1_passengers,quote_options,OPT_DEMO_1,passengers,SRC_DEMO,fictional:OPT_DEMO_1:passengers,2025-02-03,day,verified
E_OPT_DEMO_1_adults,quote_options,OPT_DEMO_1,adults,SRC_DEMO,fictional:OPT_DEMO_1:adults,2025-02-03,day,verified
E_OPT_DEMO_1_children,quote_options,OPT_DEMO_1,children,SRC_DEMO,fictional:OPT_DEMO_1:children,2025-02-03,day,verified
E_OPT_DEMO_1_currency,quote_options,OPT_DEMO_1,currency,SRC_DEMO,fictional:OPT_DEMO_1:currency,2025-02-03,day,verified
E_OPT_DEMO_1_price_scope,quote_options,OPT_DEMO_1,price_scope,SRC_DEMO,fictional:OPT_DEMO_1:price_scope,2025-02-03,day,verified
E_OPT_DEMO_1_gross_price,quote_options,OPT_DEMO_1,gross_price,SRC_DEMO,fictional:OPT_DEMO_1:gross_price,2025-02-03,day,verified
E_OPT_DEMO_1_discount_amount,quote_options,OPT_DEMO_1,discount_amount,SRC_DEMO,fictional:OPT_DEMO_1:discount_amount,2025-02-03,day,verified
E_OPT_DEMO_1_net_price,quote_options,OPT_DEMO_1,net_price,SRC_DEMO,fictional:OPT_DEMO_1:net_price,2025-02-03,day,verified
E_OPT_DEMO_1_points_available,quote_options,OPT_DEMO_1,points_available,SRC_DEMO,fictional:OPT_DEMO_1:points_available,2025-02-03,day,verified
E_OPT_DEMO_1_points_proposed,quote_options,OPT_DEMO_1,points_proposed,SRC_DEMO,fictional:OPT_DEMO_1:points_proposed,2025-02-03,day,verified
E_OPT_DEMO_1_points_value_quoted,quote_options,OPT_DEMO_1,points_value_quoted,SRC_DEMO,fictional:OPT_DEMO_1:points_value_quoted,2025-02-03,day,verified
E_OPT_DEMO_1_source_id,quote_options,OPT_DEMO_1,source_id,SRC_DEMO,fictional:OPT_DEMO_1:source_id,2025-02-03,day,verified
E_Q_DEMO_2_quote_id,quotes,Q_DEMO_2,quote_id,SRC_DEMO,fictional:Q_DEMO_2:quote_id,2025-02-03,day,verified
E_Q_DEMO_2_opportunity_id,quotes,Q_DEMO_2,opportunity_id,SRC_DEMO,fictional:Q_DEMO_2:opportunity_id,2025-02-03,day,verified
E_Q_DEMO_2_sent_at,quotes,Q_DEMO_2,sent_at,SRC_DEMO,fictional:Q_DEMO_2:sent_at,2025-02-03,day,verified
E_Q_DEMO_2_date_precision,quotes,Q_DEMO_2,date_precision,SRC_DEMO,fictional:Q_DEMO_2:date_precision,2025-02-03,day,verified
